,Day,Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,EOD,Direction
1,1,2001,0.381,-0.192,-2.624,-1.055,5.01,1.1913,0.959,Up
2,2,2001,0.959,0.381,-0.192,-2.624,-1.055,1.2965,1.032,Up
3,3,2001,1.032,0.959,0.381,-0.192,-2.624,1.4112,-0.623,Down
4,4,2001,-0.623,1.032,0.959,0.381,-0.192,1.276,0.614,Up
5,5,2001,0.614,-0.623,1.032,0.959,0.381,1.2057,0.213,Up
6,6,2001,0.213,0.614,-0.623,1.032,0.959,1.3491,1.392,Up
7,7,2001,1.392,0.213,0.614,-0.623,1.032,1.445,-0.403,Down
8,8,2001,-0.403,1.392,0.213,0.614,-0.623,1.4078,0.027,Up
9,9,2001,0.027,-0.403,1.392,0.213,0.614,1.164,1.303,Up
10,10,2001,1.303,0.027,-0.403,1.392,0.213,1.2326,0.287,Up
11,11,2001,0.287,1.303,0.027,-0.403,1.392,1.309,-0.498,Down
12,12,2001,-0.498,0.287,1.303,0.027,-0.403,1.258,-0.189,Down
13,13,2001,-0.189,-0.498,0.287,1.303,0.027,1.098,0.68,Up
14,14,2001,0.68,-0.189,-0.498,0.287,1.303,1.0531,0.701,Up
15,15,2001,0.701,0.68,-0.189,-0.498,0.287,1.1498,-0.562,Down
16,16,2001,-0.562,0.701,0.68,-0.189,-0.498,1.2953,0.546,Up
17,17,2001,0.546,-0.562,0.701,0.68,-0.189,1.1188,-1.747,Down
18,18,2001,-1.747,0.546,-0.562,0.701,0.68,1.0484,0.359,Up
19,19,2001,0.359,-1.747,0.546,-0.562,0.701,1.013,-0.151,Down
20,20,2001,-0.151,0.359,-1.747,0.546,-0.562,1.0596,-0.841,Down
21,21,2001,-0.841,-0.151,0.359,-1.747,0.546,1.1583,-0.623,Down
22,22,2001,-0.623,-0.841,-0.151,0.359,-1.747,1.1072,-1.334,Down
23,23,2001,-1.334,-0.623,-0.841,-0.151,0.359,1.0755,1.183,Up
24,24,2001,1.183,-1.334,-0.623,-0.841,-0.151,1.0391,-0.865,Down
25,25,2001,-0.865,1.183,-1.334,-0.623,-0.841,1.0752,-0.218,Down
